id_partido;nombre_partido;partido_torneo;IdLiga;torneo;temporada;descripcion_partido;EquipoLocal;EquipoVisitante;GolLocal;fecha_torneo;GolVisitante;espectadores;fecha_hora_partido;fecha_partido;hora_partido;fecha_hora_partido;Id_EquipoLocal;Id_EquipoVisitante;estadio;pais;ciudad;poster_partido;imagen_partido;partido_fanart;partido_thumb;partido_banner;partido_video;estado_partido;partido_pospuesto
508804;Middlesbrough vs Watford;English Premier League 2016-10-15 Middlesbrough vs Watford;4328;English Premier League;2016-2017;;Middlesbrough;Watford;0;8;1;0;;16/10/2016;12:30:00+00:00;;133628;133624;;;;;;;;;;;no
508806;Southampton vs Burnley;English Premier League 2016-10-15 Southampton vs Burnley;4328;English Premier League;2016-2017;;Southampton;Burnley;3;8;1;0;;16/10/2016;15:00:00+00:00;;134778;133623;;;;;;;;;;;no
508802;Liverpool vs Man United;English Premier League 2016-10-15 Liverpool vs Manchester United;4328;English Premier League;2016-2017;;Liverpool;Manchester United;0;8;0;0;;17/10/2016;19:00:00+00:00;;133602;133612;;;;;;;;;;;no
508811;Liverpool vs West Brom;English Premier League 2016-10-22 Liverpool vs West Brom;4328;English Premier League;2016-2017;;Liverpool;West Brom;2;9;1;0;;22/10/2016;16:30:00+00:00;;133602;133611;;;;;;;;;;;no
508812;Arsenal vs Middlesbrough;English Premier League 2016-10-22 Arsenal vs Middlesbrough;4328;English Premier League;2016-2017;;Arsenal;Middlesbrough;0;9;0;0;;22/10/2016;14:00:00+00:00;;133604;133628;;;;;;;;;;;no
508814;Bournemouth vs Tottenham;English Premier League 2016-10-22 Bournemouth vs Tottenham;4328;English Premier League;2016-2017;;Bournemouth;Tottenham;0;9;0;0;;22/10/2016;11:30:00+00:00;;134301;133616;;;;;;;;;;;no
508815;Swansea vs Watford;English Premier League 2016-10-22 Swansea vs Watford;4328;English Premier League;2016-2017;;Swansea;Watford;0;9;0;0;;22/10/2016;14:00:00+00:00;;133614;133624;;;;;;;;;;;no
508816;Burnley vs Everton;English Premier League 2016-10-22 Burnley vs Everton;4328;English Premier League;2016-2017;;Burnley;Everton;2;9;1;0;;22/10/2016;14:00:00+00:00;;133623;133615;;;;;;;;;;;no
508817;West Ham vs Sunderland;English Premier League 2016-10-22 West Ham vs Sunderland;4328;English Premier League;2016-2017;;West Ham;Sunderland;1;9;0;0;;22/10/2016;14:00:00+00:00;;133636;133603;;;;;;;;;;;no
508819;Hull vs Stoke;English Premier League 2016-10-22 Hull vs Stoke;4328;English Premier League;2016-2017;;Hull;Stoke;0;9;2;0;;22/10/2016;14:00:00+00:00;;133617;133609;;;;;;;;;;;no
508820;Leicester vs Crystal Palace;English Premier League 2016-10-22 Leicester vs Crystal Palace;4328;English Premier League;2016-2017;;Leicester;Crystal Palace;3;9;1;0;;22/10/2016;14:00:00+00:00;;133626;133632;;;;;;;;;;;no
508813;Man City vs Southampton;English Premier League 2016-10-22 Manchester City vs Southampton;4328;English Premier League;2016-2017;;Manchester City;Southampton;1;9;1;0;;23/10/2016;12:30:00+00:00;;133613;134778;;;;;;;;;;;no
508818;Chelsea vs Man United;English Premier League 2016-10-22 Chelsea vs Manchester United;4328;English Premier League;2016-2017;;Chelsea;Manchester United;4;9;0;0;;23/10/2016;15:00:00+00:00;;133610;133612;;;;;;;;;;;no
508821;Man United vs Burnley;English Premier League 2016-10-29 Manchester United vs Burnley;4328;English Premier League;2016-2017;;Manchester United;Burnley;0;10;0;0;;29/10/2016;14:00:00+00:00;;133612;133623;;;;;;;;;;;no
508822;West Brom vs Man City;English Premier League 2016-10-29 West Brom vs Manchester City;4328;English Premier League;2016-2017;;West Brom;Manchester City;0;10;4;0;;29/10/2016;14:00:00+00:00;;133611;133613;;;;;;;;;;;no
508823;Middlesbrough vs Bournemouth;English Premier League 2016-10-29 Middlesbrough vs Bournemouth;4328;English Premier League;2016-2017;;Middlesbrough;Bournemouth;2;10;0;0;;29/10/2016;14:00:00+00:00;;133628;134301;;;;;;;;;;;no
508826;Sunderland vs Arsenal;English Premier League 2016-10-29 Sunderland vs Arsenal;4328;English Premier League;2016-2017;;Sunderland;Arsenal;1;10;4;0;;29/10/2016;11:30:00+00:00;;133603;133604;;;;;;;;;;;no
508827;Crystal Palace vs Liverpool;English Premier League 2016-10-29 Crystal Palace vs Liverpool;4328;English Premier League;2016-2017;;Crystal Palace;Liverpool;2;10;4;0;;29/10/2016;16:30:00+00:00;;133632;133602;;;;;;;;;;;no
508828;Tottenham vs Leicester;English Premier League 2016-10-29 Tottenham vs Leicester;4328;English Premier League;2016-2017;;Tottenham;Leicester;1;10;1;0;;29/10/2016;14:00:00+00:00;;133616;133626;;;;;;;;;;;no
508830;Watford vs Hull;English Premier League 2016-10-29 Watford vs Hull;4328;English Premier League;2016-2017;;Watford;Hull;1;10;0;0;;29/10/2016;14:00:00+00:00;;133624;133617;;;;;;;;;;;no
508824;Southampton vs Chelsea;English Premier League 2016-10-29 Southampton vs Chelsea;4328;English Premier League;2016-2017;;Southampton;Chelsea;0;10;2;0;;30/10/2016;16:00:00+00:00;;134778;133610;;;;;;;;;;;no
